t(s), y(m), v(m/s), a(m/s^2)
0,-9.800000000000001e-06,-0.009800000000000001,-9.8
0.10000000000000007,-0.049978728192624944,-0.9750989112155769,-9.510323423662426
0.20000000000000015,-0.19502949189483973,-1.9118647118451022,-9.229209349251246
0.3000000000000002,-0.4323515828839595,-2.8209408073770246,-8.956404679190651
0.4000000000000003,-0.7592175682842089,-3.703145673216701,-8.691663797174142
0.5000000000000003,-1.1729806349563077,-4.559273591590582,-8.434748347026934
0.6000000000000004,-1.6710722064720351,-5.390095366668386,-8.185427018104916
0.7000000000000005,-2.250999630528253,-6.196359018547086,-7.943475337036986
0.8000000000000006,-2.910343934718266,-6.978790456721531,-7.708675465623228
0.9000000000000007,-3.6467576486399764,-7.738094133648096,-7.480816004706984
1.0010000000000006,-4.466444901572861,-8.482211192886,-7.257513896303092
1.1019999999999894,-5.36014950735876,-9.204116382707188,-7.040877348392362
1.2029999999999783,-6.3256620504820145,-9.904472726673403,-6.830707394216246
1.3039999999999672,-7.360839066406477,-10.583923457115192,-6.626811006167293
1.404999999999956,-8.463601072940962,-11.243092605899484,-6.429000918505707
1.505999999999945,-9.631930660368374,-11.882585577562764,-6.237095455367783
1.6069999999999338,-10.863870638584432,-12.50298970533627,-6.050918363908292
1.7079999999999227,-12.15752223954423,-13.104874790573897,-5.870298652423559
1.8089999999999116,-13.511043373365743,-13.688793626078093,-5.695070433306565
1.9099999999999004,-14.922646936488503,-14.255282503804583,-5.525072770689833
2.0109999999998895,-16.390599170333747,-14.804861707412092,-5.360149532636164
2.1119999999998784,-17.913218068958532,-15.338035990109464,-5.200149247741484
2.2129999999998673,-19.48887183424126,-15.855295038239083,-5.0449249660180815
2.313999999999856,-21.115977377179796,-16.35711392102235,-4.8943341239304745
2.414999999999845,-22.792998863926055,-16.843953526880235,-4.748238413459968
2.515999999999834,-24.518446305221055,-17.31626098672967,-4.606503655077623
2.616999999999823,-26.290874187935575,-17.774470084644683,-4.468999674508948
2.7179999999998117,-28.108880147459118,-18.219001656259103,-4.335600183177224
2.8189999999998006,-29.97110367971803,-18.650263975277117,-4.2061826622155305
2.9199999999997894,-31.876224891639932,-19.068653128446517,-4.080628249941028
3.0209999999997783,-33.82296328891663,-19.474553379338754,-3.9588216326881813
3.121999999999767,-35.8100765999525,-19.86833752127058,-3.840650938900498
3.222999999999756,-37.83635963491749,-20.250367219690606,-3.7260076363837342
3.323999999999745,-39.90064317885783,-20.620993344345887,-3.6147864326260217
3.424999999999734,-42.00179291784719,-20.980556291533222,-3.5068851780934622
3.5259999999997227,-44.138708397192076,-21.32938629673134,-3.4022047724123228
3.6269999999997116,-46.310322010735,-21.66780373790082,-3.300649073351761
3.7279999999997004,-48.5155980203266,-21.996119429730886,-3.2021248085232923
3.8289999999996893,-50.75353160456678,-22.314634909102637,-3.1065414897161254
3.929999999999678,-53.023147935940855,-22.623642712031298,-3.013811329789548
4.0299999999996805,-55.30057785886042,-22.92050279317977,-2.9247265800200752
4.129999999999714,-57.607248466791845,-23.208588036373325,-2.8382750716094867
4.229999999999747,-59.94229543917138,-23.488157815593226,-2.7543789690127367
4.329999999999781,-62.30488000374379,-23.759463838028235,-2.672962737412754
4.429999999999814,-64.69418818138382,-24.022750370696027,-2.5939530747136077
4.5299999999998475,-67.10943005324042,-24.27825446036596,-2.517278845543876
4.629999999999881,-69.54983904954291,-24.526206146981192,-2.4428710172108072
4.729999999999914,-72.01467125942942,-24.76682867077238,-2.370662597547552
4.829999999999948,-74.50320476117605,-25.00033867324914,-2.300588574597639
4.929999999999981,-77.01473897222361,-25.226946392250568,-2.2325858580822553
5.0300000000000145,-79.54859401841655,-25.44685585123035,-2.166593222597675
5.130000000000048,-82.10411012188693,-25.660265042946733,-2.102551252491729
5.230000000000081,-84.68064700703158,-25.86736610772277,-2.0404022883696804
5.330000000000115,-87.27758332404767,-26.068345506437552,-1.9800903751812893
5.430000000000148,-89.89431608950822,-26.263384188403947,-1.921561211842369
5.530000000000181,-92.53026014347353,-26.4526577542841,-1.864762102345475
5.630000000000215,-95.18484762264973,-26.636336614189233,-1.8096419083157258
5.730000000000248,-97.85752744911976,-26.81458614110631,-1.7561510029689984
5.830000000000282,-100.5477648341875,-26.987566819789574,-1.7042412264310585
5.930000000000315,-103.25504079688733,-27.155434391251056,-1.6538658423773978
6.030000000000348,-105.97885169672594,-27.318339992979993,-1.6049794959547903
6.130000000000382,-108.71870878023599,-27.476430295017586,-1.5575381729466091
6.230000000000415,-111.47413774093287,-27.62984763200965,-1.5114991601451493
6.330000000000449,-114.24467829227872,-27.778730131355722,-1.466821006895353
6.430000000000482,-117.02988375326922,-27.923211837570456,-1.4234634877751962
6.530000000000515,-119.82932064626989,-28.063422832968868,-1.3813875663792547
6.630000000000549,-122.64256830673979,-28.199489354784447,-1.3405553601727185
6.730000000000582,-125.4692185044915,-28.331533908825158,-1.300930106384369
6.830000000000616,-128.30887507614597,-28.459675379770097,-1.262476128907645
6.930000000000649,-131.16115356845182,-28.584029138205832,-1.2251588061801044
7.030000000000682,-134.02568089214793,-28.704707144498872,-1.1889445400123435
7.130000000000716,-136.90209498605654,-28.82181804959783,-1.1538007253382538
7.230000000000749,-139.79004449110627,-28.93546729285586,-1.1196957208595002
7.330000000000783,-142.68918843399047,-29.04575719696181,-1.0865988205576258
7.430000000000816,-145.59919592017584,-29.152787060065116,-1.0544802260482804
7.530000000000849,-148.5197458359858,-29.25665324517765,-1.023311019752633
7.630000000000883,-151.45052655948973,-29.35744926693298,-0.9930631388617641
7.730000000000916,-154.39123567993826,-29.455265875781116,-0.9637093500706868
7.8300000000009495,-157.34157972549085,-29.550191139694522,-0.935223225059163
7.930000000000983,-160.3012738989926,-29.642310523459116,-0.9075791166972742
8.030000000000989,-163.27004182156068,-29.731706965621346,-0.8807521359543848
8.131000000000933,-166.2774345991646,-29.819315414874954,-0.8544617140517303
8.232000000000877,-169.2935417926265,-29.904308754838336,-0.8289560603666111
8.33300000000082,-172.3181032769238,-29.98676504643665,-0.8042117495938843
8.434000000000765,-175.35086669175664,-30.06676002047903,-0.7802060556729931
8.535000000000709,-178.39158720977184,-30.14436714721249,-0.7569169309155281
8.636000000000653,-181.4400273117048,-30.219657703799605,-0.7343229857558473
8.737000000000597,-184.4959565682326,-30.292700839782043,-0.7124034691061194
8.838000000000541,-187.55915142834053,-30.36356364058993,-0.6911382492978113
8.939000000000485,-190.62939501400345,-30.432311189155584,-0.6705077955920036
9.040000000000429,-193.70647692099897,-30.499006625687915,-0.6504931602416981
9.141000000000373,-196.79019302566292,-30.563711205662713,-0.6310759610895129
9.242000000000317,-199.88034529741608,-30.6264843560819,-0.6122383646848366
9.343000000000261,-202.97674161688545,-30.687383730053295,-0.5939630699049836
9.444000000000205,-206.07919559945475,-30.746465259741438,-0.57623329206519
9.54500000000015,-209.18752642408234,-30.803783207737588,-0.5590327475029753
9.646000000000093,-212.30155866722862,-30.859390216896443,-0.5423456386226544
9.747000000000037,-215.4211221417409,-30.913337358685325,-0.5261566393862189
9.847999999999981,-218.5460517405473,-30.965674180089874,-0.5104508812374107
9.948999999999925,-221.67618728501623,-31.01644874911989,-0.49521393944586833
10.04999999999987,-224.81137337784355,-31.065707698956682,-0.48043181985895345
10.150999999999813,-227.95145926032882,-31.11349627078264,-0.46609094604902346
10.251999999999757,-231.09629867391413,-31.159858355332393,-0.45217814684433577
10.352999999999701,-234.24574972585464,-31.204836533203594,-0.43868064423219266
10.453999999999645,-237.3996747588991,-31.248472113964453,-0.42558604162315206
10.55499999999959,-240.55794022486072,-31.290805174094007,-0.41288231246553764
10.655999999999533,-243.7204165619615,-31.33187459378963,-0.40055778919987084
10.756999999999477,-246.8869780758383,-31.371718092676208,-0.3886011525429023
10.857999999999421,-250.05750282410082,-31.410372264449023,-0.37700142109162194
10.958999999999365,-253.23187250433435,-31.447872610482754,-0.3657479412375455
11.05999999999931,-256.4099723454479,-31.48425357243728,-0.35483037738203294
11.160999999999254,-259.59169100226325,-31.519548563890044,-0.3442387024437199
11.261999999999198,-262.77692045325296,-31.553790001024304,-0.33396318864930485
11.362999999999142,-265.9655559013275,-31.587009332401397,-0.32399439859916157
11.463999999999086,-269.15749567758735,-31.619237067844093,-0.3143231765997534
11.56499999999903,-272.3526411479467,-31.65050280645797,-0.3049406402546868
11.665999999998974,-275.550896622543,-31.68083526381632,-0.2958381723067962
11.766999999998918,-278.7521692678535,-31.71026229833351,-0.2870074127237654
11.867999999998862,-281.9563690214329,-31.73881093685116,-0.2784402510199584
11.968999999998806,-285.1634085091974,-31.766507399460583,-0.27012881880746953
12.06999999999875,-288.373202965176,-31.793377123584257,-0.26206548256949525
12.170999999998694,-291.5856701536594,-31.819444787338398,-0.25424283664947644
12.271999999998638,-294.8007302936711,-31.84473433219831,-0.24665369644944235
12.372999999998582,-298.01830598569444,-31.869268984987055,-0.23929109183143282
12.473999999998526,-301.2383221405861,-31.893071279207827,-0.23214826071586714
12.57499999999847,-304.4607059106106,-31.91616307573944,-0.225218642871031
12.675999999998414,-307.6853866225352,-31.938565582914233,-0.21849587388789793
12.776999999998358,-310.91229571272044,-31.960299375996534,-0.2119737793348424
12.877999999998302,-314.1413666641499,-31.981384416079724,-0.2056463690868089
12.978999999998246,-317.3725349453374,-32.00184006841919,-0.19950783182379084
13.07999999999819,-320.6057379510594,-32.021685120218116,-0.19355252969347525
13.180999999998134,-323.8409149448563,-32.04093779788225,-0.1877749931332673
13.281999999998078,-327.07800700325043,-32.05961578375987,-0.18216991584679398
13.382999999998022,-330.3169569616271,-32.07773623238158,-0.17673214993050657
13.483999999997966,-333.55770936173343,-32.095315786215856,-0.17145670114558875
13.58499999999791,-336.800210400744,-32.11237059095411,-0.16633872433106944
13.685999999997854,-340.0444078818456,-32.128916310339335,-0.16137351895388719
13.786999999997798,-343.2902511662988,-32.144968140552415,-0.15655652479171422
13.887999999997742,-346.5376911269283,-32.16054082416864,-0.15188331774473163
13.988999999997686,-349.78668010300345,-32.17564866369799,-0.14734960577233558
14.08999999999763,-353.03717185646485,-32.19030553472094,-0.14295122495120438
14.190999999997574,-356.2891215294577,-32.20452489863233,-0.13868413565099758
14.291999999997518,-359.54248560313204,-32.218319815004925,-0.13454441882417179
14.392999999997462,-362.7972218576752,-32.231702953583564,-0.13052827240665366
14.493999999997406,-366.0532893335339,-32.244686605921686,-0.12663200782584383
14.59499999999735,-369.31064829379585,-32.25728269667027,-0.12285204661290372
14.695999999997294,-372.5692601876953,-32.26950279452984,-0.11918491711618451
14.796999999997238,-375.82908761520423,-32.281358122875616,-0.11562725131270923
14.897999999997182,-379.0900942926854,-32.292859570065374,-0.11217578171490317
14.998999999997126,-382.3522450195663,-32.304017699439854,-0.10882733836955616
15.09999999999707,-385.6155056460106,-32.31484275902444,-0.10557884594645373
15.200999999997014,-388.87984304155316,-32.3253446909412,-0.1024273209139146
15.301999999996958,-392.14522506467245,-32.33553314054029,-0.09936986879855247
15.402999999996903,-395.41162053327,-32.3454174652584,-0.09640368152693846
15.503999999996847,-398.6789991960323,-32.35500674321314,-0.0935260348465139
15.60499999999679,-401.947331704646,-32.36430978154057,-0.09073428582357757
15.705999999996735,-405.2165895868439,-32.373335124483994,-0.0880258704159278
15.806999999996679,-408.48674522025647,-32.38209106124136,-0.08539830111792845
15.907999999996623,-411.7577718070387,-32.39058563357836,-0.08284916467589554
16.008999999996583,-415.0296433492622,-32.39882664321422,-0.0803761198716959
16.108999999996705,-418.269927803376,-32.40674368209178,-0.07800029546110565
16.208999999996827,-421.51099208493974,-32.41442670252882,-0.07569469765064873
16.30899999999695,-424.75281314316265,-32.42188262183774,-0.07345725062386599
16.40899999999707,-427.9953686086096,-32.42911815286307,-0.0712859399230581
