t(s), y1(m), y2(m), v1(m/s), v2(m/s), a1(m/s^2), a2(m/s^2)
0,-9.800000000000002e-08,-9.800000000000002e-08,-0.0009800000000000002,-0.0009800000000000002,-9.8,-9.8
0.10000000000000184,-0.04898368267428339,-0.049147097999999535,-0.9760913926464987,-0.9809799999999866,-9.702487885614207,-9.8
0.20009999999999428,-0.19518623057861884,-0.19649029399999726,-1.942460801550152,-1.9619599999999675,-9.60584997834477,-9.8
0.30019999999998326,-0.4376393325134774,-0.44202958800000336,-2.8992050587992453,-2.942940000000162,-9.510174595866035,-9.8
0.40029999999997223,-0.775384321771444,-0.78576498000003,-3.846420032023191,-3.9239200000003653,-9.415452151319196,-9.8
0.5003999999999612,-1.2074720800769563,-1.2276964700000768,-4.784200633998666,-4.904900000000568,-9.321673153331668,-9.8
0.6004999999999502,-1.732962942482813,-1.767824058000144,-5.71264083216006,-5.885880000000771,-9.228828205066046,-9.8
0.7005999999999392,-2.3509266032139267,-2.4061477440002315,-6.631833658015203,-6.866860000000974,-9.136908003278513,-9.8
0.8006999999999281,-3.0604420224488726,-3.1426675280003384,-7.541871216467292,-7.847840000001177,-9.045903337386646,-9.8
0.9007999999999171,-3.860597334029928,-3.9773834100004666,-8.442844695043977,-8.82882000000138,-8.955805088546489,-9.8
1.0008999999999062,-4.750489754092296,-4.910295390000615,-9.334844373034523,-9.809800000001584,-8.866604228738836,-9.8
1.1009999999998952,-5.729225490603415,-5.941403468000783,-10.217959630535972,-10.790780000001787,-8.778291819864602,-9.8
1.2010999999998841,-6.795919653803329,-7.070707644000973,-11.092278957409272,-11.77176000000199,-8.690859012849202,-9.8
1.3011999999998731,-7.9496961675368825,-8.298207918001182,-11.957889962145957,-12.752740000002193,-8.604297046755873,-9.8
1.401299999999862,-9.189687681469328,-9.623904290001414,-12.814879380646873,-13.733720000002396,-8.518597247907792,-9.8
1.501399999999851,-10.515035484176046,-11.047796760001663,-13.663333084913244,-14.7147000000026,-8.433751029018966,-9.8
1.60149999999984,-11.92488941709805,-12.569885328001936,-14.503336091651116,-15.695680000002803,-8.349749888333772,-9.8
1.701599999999829,-13.418407789354436,-14.190169994002185,-15.334972570790265,-16.676660000001778,-8.266585408775061,-9.8
