h(m), t(s), R(m)
5,1.0099999999999996,5.049999999998995
6,1.105999999999989,5.5299999999989
7,1.1949999999999792,5.974999999998811
8,1.2769999999999702,6.38499999999873
9,1.3549999999999616,6.774999999998652
10,1.4279999999999535,7.1399999999985795
11,1.4979999999999458,7.48999999999851
12,1.5649999999999384,7.824999999998443
13,1.6289999999999314,8.14499999999838
14,1.6899999999999247,8.449999999998319
15,1.7489999999999182,8.74499999999826
16,1.8069999999999118,9.034999999998215
17,1.8619999999999057,9.309999999998258
18,1.9159999999998998,9.5799999999983
19,1.968999999999894,9.844999999998342
20,2.0199999999998886,10.099999999998381
21,2.069999999999883,10.34999999999842
22,2.1189999999998776,10.594999999998459
23,2.1659999999998725,10.829999999998495
24,2.2129999999998673,11.064999999998532
25,2.2589999999998622,11.294999999998568
26,2.3029999999998574,11.514999999998603
27,2.3469999999998525,11.734999999998637
28,2.389999999999848,11.94999999999867
29,2.432999999999843,12.164999999998704
30,2.4739999999998386,12.369999999998736
31,2.514999999999834,12.574999999998768
32,2.5549999999998296,12.7749999999988
33,2.5949999999998252,12.97499999999883
34,2.633999999999821,13.169999999998861
35,2.6719999999998167,13.359999999998891
36,2.7099999999998126,13.54999999999892
37,2.7479999999998084,13.73999999999895
38,2.7849999999998043,13.92499999999898
39,2.8209999999998003,14.104999999999007
40,2.8569999999997964,14.284999999999036
41,2.8919999999997925,14.459999999999063
42,2.9279999999997885,14.639999999999091
43,2.961999999999785,14.809999999999118
44,2.995999999999781,14.979999999999144
45,3.0299999999997773,15.14999999999917
46,3.0639999999997736,15.319999999999197
47,3.09699999999977,15.484999999999223
48,3.1299999999997663,15.649999999999249
49,3.161999999999763,15.809999999999274
50,3.1939999999997593,15.969999999999299
